"ProposedWorkID","BillboardName","HeroImageFormula","PublicHeroImageURL","DetailPageURL","LocalDetailFile","DetailExists","HasGalleryToPreserve","GalleryImageCount","ExistingWorkIDsInPage","IndexImageRelativePath","PageTitle","HeroImageInPage","HasPublishedViaFooter"
"RE-011795","1000 Points of Light, NYC, 1991","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/1000-points-of-light-nyc-1991.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/1000-points-of-light-nyc-1991.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/1000-points-of-light-nyc-1991.html","1000-points-of-light-nyc-1991.html","Yes","Yes","1","","../images/billboards/1000-points-of-light-nyc-1991.jpg","1000 Points of Light, NYC, 1991","../images/billboards/1000-points-of-light-nyc-1991.jpg","Yes"
"RE-011796","Abortion Hanger","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/abortion-hanger-1.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/abortion-hanger-1.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/abortion-hanger-1.html","abortion-hanger-1.html","Yes","Yes","7","","../images/billboards/abortion-hanger-1.jpg","Abortion Hanger 1","../images/billboards/abortion-hanger-1.jpg","Yes"
"RE-011797","Absolut Wallpaper Rome - Guernica","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/absolut-wallpaper-rome-guernica.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/absolut-wallpaper-rome-guernica.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/absolut-wallpaper-rome-guernica.html","absolut-wallpaper-rome-guernica.html","Yes","Yes","10","","../images/billboards/absolut-wallpaper-rome-guernica.jpg","Absolut Wallpaper Rome - Guernica","../images/billboards/absolut-wallpaper-rome-guernica.jpg","Yes"
"RE-011798","AIDS Condom","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/aids-condom.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/aids-condom.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/aids-condom.html","aids-condom.html","Yes","No","0","","../images/billboards/aids-condom.jpg","AIDS Condom","../images/billboards/aids-condom.jpg","Yes"
"RE-011799","AIDS, Jersey City, 1991","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/aids-jersey-city-1991.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/aids-jersey-city-1991.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/aids-jersey-city-1991.html","aids-jersey-city-1991.html","Yes","No","0","","../images/billboards/aids-jersey-city-1991.jpg","AIDS, Jersey City, 1991","../images/billboards/aids-jersey-city-1991.jpg","Yes"
"RE-011800","All-American","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/all-american.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/all-american.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/all-american.html","all-american.html","No","No","0","","../images/billboards/all-american.jpg","","",""
"RE-011801","Art Gathering LA, Tattoo Convention Long Beach, June 2016","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/Art%20Gathering%20LA%2C%20tattoo%20convention%20Long%20Beach%2C%20June%202016.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/Art%20Gathering%20LA%2C%20tattoo%20convention%20Long%20Beach%2C%20June%202016.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/art-gathering-la-tattoo-convention-long-beach-june-2016.html","art-gathering-la-tattoo-convention-long-beach-june-2016.html","Yes","No","0","","../images/billboards/Art%20Gathering%20LA%2C%20tattoo%20convention%20Long%20Beach%2C%20June%202016.jpg","Art Gathering LA, Tattoo Convention Long Beach, June 2016","../images/billboards/Art%20Gathering%20LA%2C%20tattoo%20convention%20Long%20Beach%2C%20June%202016.jpg","Yes"
"RE-011802","Barney vs Godzilla","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/barney-vs-godzilla.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/barney-vs-godzilla.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/barney-vs-godzilla.html","barney-vs-godzilla.html","Yes","Yes","2","","../images/billboards/barney-vs-godzilla.jpg","Barney vs Godzilla","../images/billboards/barney-vs-godzilla.jpg","Yes"
"RE-011803","Batboy, Bronx, NY 1987","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/batboy-bronx-ny-1987.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/batboy-bronx-ny-1987.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/batboy-bronx-ny-1987.html","batboy-bronx-ny-1987.html","No","No","0","","../images/billboards/batboy-bronx-ny-1987.jpg","","",""
"RE-011804","Beacon Windows","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/beacon-windows.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-billboards/images/billboards/beacon-windows.jpg","https://ronenglish-archive.github.io/ron-english-billboards/billboards/beacon-windows.html","beacon-windows.html","Yes","Yes","5","","../images/billboards/beacon-windows.jpg","Beacon Windows","../images/billboards/beacon-windows.jpg","Yes"
