"File","OriginalTitle","NewTitle","DateFoundInTitle","DateBefore","DateAfter","PageChanged","DateChanged","TitleChanged","IndexChanged","Status"
"1000-points-of-light-nyc-1991.html","1000 Points of Light, NYC, 1991","1000 Points of Light, NYC","1991","Not documented","1991","Yes","Yes","Yes","Yes","Updated"
"abortion-hanger-1.html","Abortion Hanger","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"absolut-wallpaper-rome-guernica.html","Absolut Wallpaper Rome - Guernica","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"aids-condom.html","AIDS Condom","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"aids-jersey-city-1991.html","AIDS, Jersey City, 1991","AIDS, Jersey City","1991","Not documented","1991","Yes","Yes","Yes","Yes","Updated"
"all-american.html","All-American","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"art-gathering-la-tattoo-convention-long-beach-june-2016.html","Art Gathering LA, Tattoo Convention Long Beach, June 2016","Art Gathering LA, Tattoo Convention Long Beach","June 2016","Not documented","June 2016","Yes","Yes","Yes","Yes","Updated"
"barney-vs-godzilla.html","Barney vs Godzilla","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"batboy-bronx-ny-1987.html","Batboy, Bronx, NY 1987","Batboy, Bronx, NY","1987","Not documented","1987","Yes","Yes","Yes","Yes","Updated"
"beacon-windows.html","Beacon Windows","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"better-living-through-chemistry.html","Better Living Through Chemistry","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"billboard-liberation-just-do-it.html","Billboard Liberation - Just Do It","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"bogus-vogue.html","Bogus Vogue","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"breathe.html","Breathe","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"bunnies.html","Bunnies","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"camel-junior-nyc-1991.html","Camel Junior, NYC, 1991","Camel Junior, NYC","1991","Not documented","1991","Yes","Yes","Yes","Yes","Updated"
"camel-juniors-nyc-1991.html","Camel Juniors, NYC, 1991","Camel Juniors, NYC","1991","Not documented","1991","Yes","Yes","Yes","Yes","Updated"
"camel-kids-jersey-city-1995.html","Camel Kids, Jersey City, 1995","Camel Kids, Jersey City","1995","Not documented","1995","Yes","Yes","Yes","Yes","Updated"
"censorship-is-good-because-nyc-1990.html","Censorship Is Good Because..., NYC, 1990","Censorship Is Good Because..., NYC","1990","Not documented","1990","Yes","Yes","Yes","Yes","Updated"
"cereal-killer.html","Cereal Killer","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"christmas-card-1989.html","Christmas Card 1989","Christmas Card","1989","Not documented","1989","Yes","Yes","Yes","Yes","Updated"
"circus.html","Circus","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"close-cover-before-cremating.html","Close Cover Before Cremating","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"combrats.html","Combrats","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"cover-the-earth.html","Cover the Earth","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"de-la-barracuda-wall-la-2011.html","De La Barracuda Wall, LA, 2011","De La Barracuda Wall, LA","2011","Not documented","2011","Yes","Yes","Yes","Yes","Updated"
"dinosaur.html","Dinosaur","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"dont-do-it-in-a-vacuum.html","Don't Do It in a Vacuum","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"enhanced-milk.html","Enhanced Milk","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"evolucion-non-e-para-todos.html","Evolution - Non E Para Todos","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"evolution-dont-get-left-behind.html","Evolution - Don't Get Left Behind","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"evolution-its-not-for-everyone.html","Evolution - It's Not for Everyone","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"evolve.html","Evolve","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"eyes-in-austin-tx-1984.html","Eyes in Austin, TX, 1984","Eyes in Austin, TX","1984","Not documented","1984","Yes","Yes","Yes","Yes","Updated"
"family-album.html","Family Album","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"family-values-austin-tx.html","Family Values, Austin TX","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"fat-and-50.html","Fat & 50","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"fish-eyes.html","Fish Eyes","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"forever-kool.html","Forever Kool, Jersey City, 1995","Forever Kool, Jersey City","1995","Not documented","1995","Yes","Yes","Yes","Yes","Updated"
"get-met-or-pay.html","Get Met or Pay","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"good-to-the-last-drop.html","Good to the Last Drop","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"got-coke.html","Got Coke","","","","","No","No","No","No","Skipped - No year in title"
"got-coke-and-sugar-the-other-white-powder.html","Got Coke","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"grade-school-guernica.html","Grade School Guernica","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"greetings-from-the-occupation-1-london.html","Greetings from the Occupation 1, London","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"greetings-from-the-occupation-version-2.html","Greetings from the Occupation Version 2","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"greys-autonomy-austin-tx-1985.html","Grey's Autonomy, Austin, TX 1985","Grey's Autonomy, Austin, TX","1985","Not documented","1985","Yes","Yes","Yes","Yes","Updated"
"grinny-gaylord.html","Grinny Gaylord","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"halliburton.html","Halliburton","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"heart-los-angeles-ca-1996.html","Heart Los Angeles, CA 1996","Heart Los Angeles, CA","1996","Not documented","1996","Yes","Yes","Yes","Yes","Updated"
"home-of-the-homeless-nyc-1992.html","Home of the Homeless, NYC, 1992","Home of the Homeless, NYC","1992","Not documented","1992","Yes","Yes","Yes","Yes","Updated"
"hook-any-new-kids-today.html","Hook Any New Kids Today","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"houston-bowery-wall.html","Houston Bowery Wall","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"hulk.html","Hulk","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"if-you-believe.html","If You Believe","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"inauguration-obama.html","Inauguration Obama","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"in-your-minds-eye.html","In Your Mind's Eye","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"i-of-second-chances-revelations.html","I of Second Chances - Revelations","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"its-armageddon-in-america.html","It's Armageddon in America","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"its-a-whole-new-world-road-banner.html","It's a Whole New World - Road Banner","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"i-wanna-be-erected.html","I Wanna Be Erected","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"jesus-drove-an-suv.html","Jesus Drove an SUV","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"jesus-returns.html","Jesus Returns","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"jihad-is-over-amsterdam.html","Jihad Is Over, Amsterdam","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"jihad-is-over-version-1.html","Jihad Is Over Version 1","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"jihad-is-over-version-2.html","Jihad Is Over Version 2","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"just-do-it.html","Just Do It","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"keep-hope-a-lie.html","Keep Hope a Lie","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"kid-kools.html","Kid Kools","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"king-of-beers-version-1.html","The King of Beers Version 1","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"king-of-beers-version-2.html","The King of Beers Version 2","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"kiss-kids-on-coke.html","Kiss Kids on Coke","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"last-supper-at-mcdonalds-dallas-tx-1994-installing.html","Last Supper at McDonalds, Dallas, TX 1994","Last Supper at McDonalds, Dallas, TX","1994","Not documented","1994","Yes","Yes","Yes","Yes","Updated"
"les-pauvres.html","Les Pauvres","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"lets-get-drunk-and-kill-god-version-2.html","Let's Get Drunk and Kill God, Version 2","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"libertys-first-casualty.html","Liberty's First Casualty","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"life-after-debt-jersey-city-1992.html","Life after Debt, Jersey City, 1992","Life after Debt, Jersey City","1992","Not documented","1992","Yes","Yes","Yes","Yes","Updated"
"look-before-you-speak.html","Look Before You Speak","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"love-dallas-tx-1981.html","Love, Dallas, TX 1981","Love, Dallas, TX","1981","Not documented","1981","Yes","Yes","Yes","Yes","Updated"
"lust-dallas-tx-1981.html","Lust, Dallas, TX 1981","Lust, Dallas, TX","1981","Not documented","1981","Yes","Yes","Yes","Yes","Updated"
"marlboro-boy.html","Marlboro Boy","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"masturbation-is-murder.html","Masturbation Is Murder","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"mc-soylent-gold-is-cattle.html","McSoylent Gold Is Cattle","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"mc-super-sized.html","MC Super Sized","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"modern-mickeys.html","Modern Mickeys","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"monica.html","Monica and Marilyn","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"more-jingoism-less-journalism.html","More Jingoism Less Journalism","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"mother-of-all-milkshakes.html","The Mother of All Milkshakes","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"new-aids-transmitted-through-eye-contact.html","New AIDS Transmitted Through Eye Contact","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
"new-world-order-nyc-1990.html","The New World Order, NYC, 1990","The New World Order, NYC","1990","Not documented","1990","Yes","Yes","Yes","Yes","Updated"
"new-years-eve.html","New Years Eve","","","Not documented","Not documented","No","No","No","No","Skipped - No year in title"
