"File","HasImages","AlreadyHadHoverStabilityBlock","Changed","MojibakeLinesBefore","MojibakeLinesAfter","MojibakeIncreased"
"billboards\1000-points-of-light-nyc-1991.html","Yes","No","Yes","0","0","No"
"billboards\abortion-hanger-1.html","Yes","No","Yes","0","0","No"
"billboards\absolut-wallpaper-rome-guernica.html","Yes","No","Yes","0","0","No"
"billboards\aids-condom.html","Yes","No","Yes","0","0","No"
"billboards\aids-jersey-city-1991.html","Yes","No","Yes","0","0","No"
"billboards\all-american.html","Yes","No","Yes","0","0","No"
"billboards\art-gathering-la-tattoo-convention-long-beach-june-2016.html","Yes","No","Yes","0","0","No"
"billboards\barney-vs-godzilla.html","Yes","No","Yes","0","0","No"
"billboards\batboy-bronx-ny-1987.html","Yes","No","Yes","0","0","No"
"billboards\beacon-windows.html","Yes","No","Yes","0","0","No"
"billboards\better-living-through-chemistry.html","Yes","No","Yes","0","0","No"
"billboards\billboard-liberation-just-do-it.html","Yes","No","Yes","0","0","No"
"billboards\bogus-vogue.html","Yes","No","Yes","0","0","No"
"billboards\breathe.html","Yes","No","Yes","0","0","No"
"billboards\bunnies.html","Yes","No","Yes","0","0","No"
"billboards\camel-junior-nyc-1991.html","Yes","No","Yes","0","0","No"
"billboards\camel-juniors-nyc-1991.html","Yes","No","Yes","0","0","No"
"billboards\camel-kids-jersey-city-1995.html","Yes","No","Yes","0","0","No"
"billboards\censorship-is-good-because-nyc-1990.html","Yes","No","Yes","0","0","No"
"billboards\cereal-killer.html","Yes","No","Yes","0","0","No"
"billboards\christmas-card-1989.html","Yes","No","Yes","0","0","No"
"billboards\circus.html","Yes","No","Yes","0","0","No"
"billboards\close-cover-before-cremating.html","Yes","No","Yes","0","0","No"
"billboards\combrats.html","Yes","No","Yes","0","0","No"
"billboards\cover-the-earth.html","Yes","No","Yes","0","0","No"
"billboards\de-la-barracuda-wall-la-2011.html","Yes","No","Yes","0","0","No"
"billboards\dinosaur.html","Yes","No","Yes","0","0","No"
"billboards\dont-do-it-in-a-vacuum.html","Yes","No","Yes","0","0","No"
"billboards\enhanced-milk.html","Yes","No","Yes","0","0","No"
"billboards\evolucion-non-e-para-todos.html","Yes","No","Yes","0","0","No"
"billboards\evolution-dont-get-left-behind.html","Yes","No","Yes","0","0","No"
"billboards\evolution-its-not-for-everyone.html","Yes","No","Yes","0","0","No"
"billboards\evolve.html","Yes","No","Yes","0","0","No"
"billboards\eyes-in-austin-tx-1984.html","Yes","No","Yes","0","0","No"
"billboards\family-album.html","Yes","No","Yes","0","0","No"
"billboards\family-values-austin-tx.html","Yes","No","Yes","0","0","No"
"billboards\fat-and-50.html","Yes","No","Yes","0","0","No"
"billboards\fish-eyes.html","Yes","No","Yes","0","0","No"
"billboards\forever-kool.html","Yes","No","Yes","0","0","No"
"billboards\get-met-or-pay.html","Yes","No","Yes","0","0","No"
"billboards\good-to-the-last-drop.html","Yes","No","Yes","0","0","No"
"billboards\got-coke.html","Yes","No","Yes","0","0","No"
"billboards\got-coke-and-sugar-the-other-white-powder.html","Yes","No","Yes","0","0","No"
"billboards\grade-school-guernica.html","Yes","No","Yes","0","0","No"
"billboards\greetings-from-the-occupation-1-london.html","Yes","No","Yes","0","0","No"
"billboards\greetings-from-the-occupation-version-2.html","Yes","No","Yes","0","0","No"
"billboards\greys-autonomy-austin-tx-1985.html","Yes","No","Yes","0","0","No"
"billboards\grinny-gaylord.html","Yes","No","Yes","0","0","No"
"billboards\halliburton.html","Yes","No","Yes","0","0","No"
"billboards\heart-los-angeles-ca-1996.html","Yes","No","Yes","0","0","No"
"billboards\home-of-the-homeless-nyc-1992.html","Yes","No","Yes","0","0","No"
"billboards\hook-any-new-kids-today.html","Yes","No","Yes","0","0","No"
"billboards\houston-bowery-wall.html","Yes","No","Yes","0","0","No"
"billboards\hulk.html","Yes","No","Yes","0","0","No"
"billboards\if-you-believe.html","Yes","No","Yes","0","0","No"
"billboards\inauguration-obama.html","Yes","No","Yes","0","0","No"
"billboards\index.html","Yes","No","Yes","0","0","No"
"billboards\in-your-minds-eye.html","Yes","No","Yes","0","0","No"
"billboards\i-of-second-chances-revelations.html","Yes","No","Yes","0","0","No"
"billboards\its-armageddon-in-america.html","Yes","No","Yes","0","0","No"
"billboards\its-a-whole-new-world-road-banner.html","Yes","No","Yes","0","0","No"
"billboards\i-wanna-be-erected.html","Yes","No","Yes","0","0","No"
"billboards\jesus-drove-an-suv.html","Yes","No","Yes","0","0","No"
"billboards\jesus-returns.html","Yes","No","Yes","0","0","No"
"billboards\jihad-is-over-amsterdam.html","Yes","No","Yes","0","0","No"
"billboards\jihad-is-over-version-1.html","Yes","No","Yes","0","0","No"
"billboards\jihad-is-over-version-2.html","Yes","No","Yes","0","0","No"
"billboards\just-do-it.html","Yes","No","Yes","0","0","No"
"billboards\keep-hope-a-lie.html","Yes","No","Yes","0","0","No"
"billboards\kid-kools.html","Yes","No","Yes","0","0","No"
"billboards\king-of-beers-version-1.html","Yes","No","Yes","0","0","No"
"billboards\king-of-beers-version-2.html","Yes","No","Yes","0","0","No"
"billboards\kiss-kids-on-coke.html","Yes","No","Yes","0","0","No"
"billboards\last-supper-at-mcdonalds-dallas-tx-1994-installing.html","Yes","No","Yes","0","0","No"
