"Section","File","OldTitle","NewTitle","CircaYearFound","DateBefore","DateAfter","PageChanged","TitleChanged","DateChanged","IndexChanged","RemainingMojibakeWarning"
"billboards","1000-points-of-light-nyc-1991.html","1000 Points of Light, NYC","","","1991","1991","No","No","No","No","No"
"billboards","abortion-hanger-1.html","Abortion Hanger","","","Not documented","Not documented","No","No","No","No","No"
"billboards","absolut-wallpaper-rome-guernica.html","Absolut Wallpaper Rome - Guernica","","","Not documented","Not documented","No","No","No","No","No"
"billboards","aids-condom.html","AIDS Condom","","","Not documented","Not documented","No","No","No","No","No"
"billboards","aids-jersey-city-1991.html","AIDS, Jersey City","","","1991","1991","No","No","No","No","No"
"billboards","all-american.html","All-American","","","Not documented","Not documented","No","No","No","No","No"
"billboards","art-gathering-la-tattoo-convention-long-beach-june-2016.html","Art Gathering LA, Tattoo Convention Long Beach","","","June 2016","June 2016","No","No","No","No","No"
"billboards","barney-vs-godzilla.html","Barney vs Godzilla","","","Not documented","Not documented","No","No","No","No","No"
"billboards","batboy-bronx-ny-1987.html","Batboy, Bronx, NY","","","1987","1987","No","No","No","No","No"
"billboards","beacon-windows.html","Beacon Windows","","","Not documented","Not documented","No","No","No","No","No"
"billboards","better-living-through-chemistry.html","Better Living Through Chemistry","","","Not documented","Not documented","No","No","No","No","No"
"billboards","billboard-liberation-just-do-it.html","Billboard Liberation - Just Do It","","","Not documented","Not documented","No","No","No","No","No"
"billboards","bogus-vogue.html","Bogus Vogue","","","Not documented","Not documented","No","No","No","No","No"
"billboards","breathe.html","Breathe","","","Not documented","Not documented","No","No","No","No","No"
"billboards","bunnies.html","Bunnies","","","Not documented","Not documented","No","No","No","No","No"
"billboards","camel-junior-nyc-1991.html","Camel Junior, NYC","","","1991","1991","No","No","No","No","No"
"billboards","camel-juniors-nyc-1991.html","Camel Juniors, NYC","","","1991","1991","No","No","No","No","No"
"billboards","camel-kids-jersey-city-1995.html","Camel Kids, Jersey City","","","1995","1995","No","No","No","No","No"
"billboards","censorship-is-good-because-nyc-1990.html","Censorship Is Good Because..., NYC","","","1990","1990","No","No","No","No","No"
"billboards","cereal-killer.html","Cereal Killer","","","Not documented","Not documented","No","No","No","No","No"
"billboards","christmas-card-1989.html","Christmas Card","","","1989","1989","No","No","No","No","No"
"billboards","circus.html","Circus","","","Not documented","Not documented","No","No","No","No","No"
"billboards","close-cover-before-cremating.html","Close Cover Before Cremating","","","Not documented","Not documented","No","No","No","No","No"
"billboards","combrats.html","Combrats","","","Not documented","Not documented","No","No","No","No","No"
"billboards","cover-the-earth.html","Cover the Earth","","","Not documented","Not documented","No","No","No","No","No"
"billboards","de-la-barracuda-wall-la-2011.html","De La Barracuda Wall, LA","","","2011","2011","No","No","No","No","No"
"billboards","dinosaur.html","Dinosaur","","","Not documented","Not documented","No","No","No","No","No"
"billboards","dont-do-it-in-a-vacuum.html","Don't Do It in a Vacuum","","","Not documented","Not documented","No","No","No","No","No"
"billboards","enhanced-milk.html","Enhanced Milk","","","Not documented","Not documented","No","No","No","No","No"
"billboards","evolucion-non-e-para-todos.html","Evolution - Non E Para Todos","","","Not documented","Not documented","No","No","No","No","No"
"billboards","evolution-dont-get-left-behind.html","Evolution - Don't Get Left Behind","","","Not documented","Not documented","No","No","No","No","No"
"billboards","evolution-its-not-for-everyone.html","Evolution - It's Not for Everyone","","","Not documented","Not documented","No","No","No","No","No"
"billboards","evolve.html","Evolve","","","Not documented","Not documented","No","No","No","No","No"
"billboards","eyes-in-austin-tx-1984.html","Eyes in Austin, TX","","","1984","1984","No","No","No","No","No"
"billboards","family-album.html","Family Album","","","Not documented","Not documented","No","No","No","No","No"
"billboards","family-values-austin-tx.html","Family Values, Austin TX","","","Not documented","Not documented","No","No","No","No","No"
"billboards","fat-and-50.html","Fat & 50","","","Not documented","Not documented","No","No","No","No","No"
"billboards","fish-eyes.html","Fish Eyes","","","Not documented","Not documented","No","No","No","No","No"
"billboards","forever-kool.html","Forever Kool, Jersey City","","","1995","1995","No","No","No","No","No"
"billboards","get-met-or-pay.html","Get Met or Pay","","","Not documented","Not documented","No","No","No","No","No"
"billboards","good-to-the-last-drop.html","Good to the Last Drop","","","Not documented","Not documented","No","No","No","No","No"
"billboards","got-coke.html","Got Coke","","","","","Yes","No","No","No","Yes"
"billboards","got-coke-and-sugar-the-other-white-powder.html","Got Coke","","","Not documented","Not documented","No","No","No","No","No"
