"File","Changed","MojibakeWarningAfter"
"1000-points-of-light-nyc-1991.html","Yes","No"
"abortion-hanger-1.html","Yes","No"
"absolut-wallpaper-rome-guernica.html","Yes","No"
"aids-condom.html","Yes","No"
"aids-jersey-city-1991.html","Yes","No"
"all-american.html","Yes","No"
"art-gathering-la-tattoo-convention-long-beach-june-2016.html","Yes","No"
"barney-vs-godzilla.html","Yes","No"
"batboy-bronx-ny-1987.html","Yes","No"
"beacon-windows.html","Yes","No"
"better-living-through-chemistry.html","Yes","No"
"billboard-liberation-just-do-it.html","Yes","No"
"bogus-vogue.html","Yes","No"
"breathe.html","Yes","No"
"bunnies.html","Yes","No"
"camel-junior-nyc-1991.html","Yes","No"
"camel-juniors-nyc-1991.html","Yes","No"
"camel-kids-jersey-city-1995.html","Yes","No"
"censorship-is-good-because-nyc-1990.html","Yes","No"
"cereal-killer.html","Yes","No"
"christmas-card-1989.html","Yes","No"
"circus.html","Yes","No"
"close-cover-before-cremating.html","Yes","No"
"combrats.html","Yes","No"
"cover-the-earth.html","Yes","No"
"de-la-barracuda-wall-la-2011.html","Yes","No"
"dinosaur.html","Yes","No"
"dont-do-it-in-a-vacuum.html","Yes","No"
"enhanced-milk.html","Yes","No"
"evolucion-non-e-para-todos.html","Yes","No"
"evolution-dont-get-left-behind.html","Yes","No"
"evolution-its-not-for-everyone.html","Yes","No"
"evolve.html","Yes","No"
"eyes-in-austin-tx-1984.html","Yes","No"
"family-album.html","Yes","No"
"family-values-austin-tx.html","Yes","No"
"fat-and-50.html","Yes","No"
"fish-eyes.html","Yes","No"
"forever-kool.html","Yes","No"
"get-met-or-pay.html","Yes","No"
"good-to-the-last-drop.html","Yes","No"
"got-coke.html","Yes","No"
"got-coke-and-sugar-the-other-white-powder.html","Yes","No"
"grade-school-guernica.html","Yes","No"
"greetings-from-the-occupation-1-london.html","Yes","No"
"greetings-from-the-occupation-version-2.html","Yes","No"
"greys-autonomy-austin-tx-1985.html","Yes","No"
"grinny-gaylord.html","Yes","No"
"halliburton.html","Yes","No"
"heart-los-angeles-ca-1996.html","Yes","No"
"home-of-the-homeless-nyc-1992.html","Yes","No"
"hook-any-new-kids-today.html","Yes","No"
"houston-bowery-wall.html","Yes","No"
"hulk.html","Yes","No"
"if-you-believe.html","Yes","No"
"inauguration-obama.html","Yes","No"
"in-your-minds-eye.html","Yes","No"
"i-of-second-chances-revelations.html","Yes","No"
"its-armageddon-in-america.html","Yes","No"
"its-a-whole-new-world-road-banner.html","Yes","No"
"i-wanna-be-erected.html","Yes","No"
"jesus-drove-an-suv.html","Yes","No"
"jesus-returns.html","Yes","No"
"jihad-is-over-amsterdam.html","Yes","No"
"jihad-is-over-version-1.html","Yes","No"
"jihad-is-over-version-2.html","Yes","No"
"just-do-it.html","Yes","No"
"keep-hope-a-lie.html","Yes","No"
"kid-kools.html","Yes","No"
