"Section","File","Changed","TermsLinkStillPresent","MojibakeWarning"
"billboards","1000-points-of-light-nyc-1991.html","Yes","No","No"
"billboards","abortion-hanger-1.html","Yes","No","No"
"billboards","absolut-wallpaper-rome-guernica.html","Yes","No","No"
"billboards","aids-condom.html","Yes","No","No"
"billboards","aids-jersey-city-1991.html","Yes","No","No"
"billboards","all-american.html","Yes","No","No"
"billboards","art-gathering-la-tattoo-convention-long-beach-june-2016.html","Yes","No","No"
"billboards","barney-vs-godzilla.html","Yes","No","No"
"billboards","batboy-bronx-ny-1987.html","Yes","No","No"
"billboards","beacon-windows.html","Yes","No","No"
"billboards","better-living-through-chemistry.html","Yes","No","No"
"billboards","billboard-liberation-just-do-it.html","Yes","No","No"
"billboards","bogus-vogue.html","Yes","No","No"
"billboards","breathe.html","Yes","No","No"
"billboards","bunnies.html","Yes","No","No"
"billboards","camel-junior-nyc-1991.html","Yes","No","No"
"billboards","camel-juniors-nyc-1991.html","Yes","No","No"
"billboards","camel-kids-jersey-city-1995.html","Yes","No","No"
"billboards","censorship-is-good-because-nyc-1990.html","Yes","No","No"
"billboards","cereal-killer.html","Yes","No","No"
"billboards","christmas-card-1989.html","Yes","No","No"
"billboards","circus.html","Yes","No","No"
"billboards","close-cover-before-cremating.html","Yes","No","No"
"billboards","combrats.html","Yes","No","No"
"billboards","cover-the-earth.html","Yes","No","No"
"billboards","de-la-barracuda-wall-la-2011.html","Yes","No","No"
"billboards","dinosaur.html","Yes","No","No"
"billboards","dont-do-it-in-a-vacuum.html","Yes","No","No"
"billboards","enhanced-milk.html","Yes","No","No"
"billboards","evolucion-non-e-para-todos.html","Yes","No","No"
"billboards","evolution-dont-get-left-behind.html","Yes","No","No"
"billboards","evolution-its-not-for-everyone.html","Yes","No","No"
"billboards","evolve.html","Yes","No","No"
"billboards","eyes-in-austin-tx-1984.html","Yes","No","No"
"billboards","family-album.html","Yes","No","No"
"billboards","family-values-austin-tx.html","Yes","No","No"
"billboards","fat-and-50.html","Yes","No","No"
"billboards","fish-eyes.html","Yes","No","No"
"billboards","forever-kool.html","Yes","No","No"
"billboards","get-met-or-pay.html","Yes","No","No"
"billboards","good-to-the-last-drop.html","Yes","No","No"
"billboards","got-coke.html","No","No","Yes"
"billboards","got-coke-and-sugar-the-other-white-powder.html","Yes","No","No"
"billboards","grade-school-guernica.html","Yes","No","No"
"billboards","greetings-from-the-occupation-1-london.html","Yes","No","No"
"billboards","greetings-from-the-occupation-version-2.html","Yes","No","No"
"billboards","greys-autonomy-austin-tx-1985.html","Yes","No","No"
"billboards","grinny-gaylord.html","Yes","No","No"
"billboards","halliburton.html","Yes","No","No"
"billboards","heart-los-angeles-ca-1996.html","Yes","No","No"
"billboards","home-of-the-homeless-nyc-1992.html","Yes","No","No"
"billboards","hook-any-new-kids-today.html","Yes","No","No"
"billboards","houston-bowery-wall.html","Yes","No","No"
"billboards","hulk.html","Yes","No","No"
"billboards","if-you-believe.html","Yes","No","No"
"billboards","inauguration-obama.html","Yes","No","No"
"billboards","in-your-minds-eye.html","Yes","No","No"
"billboards","i-of-second-chances-revelations.html","Yes","No","No"
"billboards","its-armageddon-in-america.html","Yes","No","No"
"billboards","its-a-whole-new-world-road-banner.html","Yes","No","No"
"billboards","i-wanna-be-erected.html","Yes","No","No"
"billboards","jesus-drove-an-suv.html","Yes","No","No"
"billboards","jesus-returns.html","Yes","No","No"
"billboards","jihad-is-over-amsterdam.html","Yes","No","No"
"billboards","jihad-is-over-version-1.html","Yes","No","No"
"billboards","jihad-is-over-version-2.html","Yes","No","No"
"billboards","just-do-it.html","Yes","No","No"
"billboards","keep-hope-a-lie.html","Yes","No","No"
"billboards","kid-kools.html","Yes","No","No"
"billboards","king-of-beers-version-1.html","Yes","No","No"
"billboards","king-of-beers-version-2.html","Yes","No","No"
"billboards","kiss-kids-on-coke.html","Yes","No","No"
"billboards","last-supper-at-mcdonalds-dallas-tx-1994-installing.html","Yes","No","No"
"billboards","les-pauvres.html","Yes","No","No"
"billboards","lets-get-drunk-and-kill-god-version-2.html","Yes","No","No"
"billboards","libertys-first-casualty.html","Yes","No","No"
"billboards","life-after-debt-jersey-city-1992.html","Yes","No","No"
"billboards","look-before-you-speak.html","Yes","No","No"
"billboards","love-dallas-tx-1981.html","Yes","No","No"
"billboards","lust-dallas-tx-1981.html","Yes","No","No"
"billboards","marlboro-boy.html","Yes","No","No"
"billboards","masturbation-is-murder.html","Yes","No","No"
"billboards","mc-soylent-gold-is-cattle.html","Yes","No","No"
"billboards","mc-super-sized.html","Yes","No","No"
"billboards","modern-mickeys.html","Yes","No","No"
"billboards","monica.html","Yes","No","No"
"billboards","more-jingoism-less-journalism.html","Yes","No","No"
"billboards","mother-of-all-milkshakes.html","Yes","No","No"
"billboards","new-aids-transmitted-through-eye-contact.html","Yes","No","No"
"billboards","new-world-order-nyc-1990.html","Yes","No","No"
"billboards","new-years-eve.html","Yes","No","No"
"billboards","no-brain-no-pain.html","Yes","No","No"
"billboards","nova-orden-mundial.html","Yes","No","No"
"billboards","nova-xeracion.html","Yes","No","No"
"billboards","obama.html","Yes","No","No"
"billboards","observe-listen-reveal.html","Yes","No","No"
"billboards","oj-simpson.html","Yes","No","No"
"billboards","one-god-one-party.html","Yes","No","No"
"billboards","over-50-billion-super-sized.html","Yes","No","No"
"billboards","phat-food.html","Yes","No","No"
"billboards","playdate-iran.html","Yes","No","No"
