"Section","File","WarningBefore","Changed","WarningAfter","RemainingSnippet"
"billboards","1000-points-of-light-nyc-1991.html","No","Yes","No",""
"billboards","abortion-hanger-1.html","No","Yes","No",""
"billboards","absolut-wallpaper-rome-guernica.html","No","Yes","No",""
"billboards","aids-condom.html","No","Yes","No",""
"billboards","aids-jersey-city-1991.html","No","Yes","No",""
"billboards","all-american.html","No","Yes","No",""
"billboards","art-gathering-la-tattoo-convention-long-beach-june-2016.html","No","Yes","No",""
"billboards","barney-vs-godzilla.html","No","Yes","No",""
"billboards","batboy-bronx-ny-1987.html","No","Yes","No",""
"billboards","beacon-windows.html","No","Yes","No",""
"billboards","better-living-through-chemistry.html","No","Yes","No",""
"billboards","billboard-liberation-just-do-it.html","No","Yes","No",""
"billboards","bogus-vogue.html","No","Yes","No",""
"billboards","breathe.html","No","Yes","No",""
"billboards","bunnies.html","No","Yes","No",""
"billboards","camel-junior-nyc-1991.html","No","Yes","No",""
"billboards","camel-juniors-nyc-1991.html","No","Yes","No",""
"billboards","camel-kids-jersey-city-1995.html","No","Yes","No",""
"billboards","censorship-is-good-because-nyc-1990.html","No","Yes","No",""
"billboards","cereal-killer.html","No","Yes","No",""
"billboards","christmas-card-1989.html","No","Yes","No",""
"billboards","circus.html","No","Yes","No",""
"billboards","close-cover-before-cremating.html","No","Yes","No",""
"billboards","combrats.html","No","Yes","No",""
"billboards","cover-the-earth.html","No","Yes","No",""
"billboards","de-la-barracuda-wall-la-2011.html","No","Yes","No",""
"billboards","dinosaur.html","No","Yes","No",""
"billboards","dont-do-it-in-a-vacuum.html","No","Yes","No",""
"billboards","enhanced-milk.html","No","Yes","No",""
"billboards","evolucion-non-e-para-todos.html","No","Yes","No",""
"billboards","evolution-dont-get-left-behind.html","No","Yes","No",""
"billboards","evolution-its-not-for-everyone.html","No","Yes","No",""
"billboards","evolve.html","No","Yes","No",""
"billboards","eyes-in-austin-tx-1984.html","No","Yes","No",""
"billboards","family-album.html","No","Yes","No",""
"billboards","family-values-austin-tx.html","No","Yes","No",""
"billboards","fat-and-50.html","No","Yes","No",""
"billboards","fish-eyes.html","No","Yes","No",""
"billboards","forever-kool.html","No","Yes","No",""
"billboards","get-met-or-pay.html","No","Yes","No",""
"billboards","good-to-the-last-drop.html","No","Yes","No",""
"billboards","got-coke.html","Yes","Yes","No",""
"billboards","got-coke-and-sugar-the-other-white-powder.html","No","Yes","No",""
"billboards","grade-school-guernica.html","No","Yes","No",""
"billboards","greetings-from-the-occupation-1-london.html","No","Yes","No",""
"billboards","greetings-from-the-occupation-version-2.html","No","Yes","No",""
"billboards","greys-autonomy-austin-tx-1985.html","No","Yes","No",""
"billboards","grinny-gaylord.html","No","Yes","No",""
"billboards","halliburton.html","No","Yes","No",""
"billboards","heart-los-angeles-ca-1996.html","No","Yes","No",""
"billboards","home-of-the-homeless-nyc-1992.html","No","Yes","No",""
"billboards","hook-any-new-kids-today.html","No","Yes","No",""
"billboards","houston-bowery-wall.html","No","Yes","No",""
"billboards","hulk.html","No","Yes","No",""
"billboards","if-you-believe.html","No","Yes","No",""
"billboards","inauguration-obama.html","No","Yes","No",""
"billboards","index.html","No","Yes","No",""
"billboards","in-your-minds-eye.html","No","Yes","No",""
"billboards","i-of-second-chances-revelations.html","No","Yes","No",""
"billboards","its-armageddon-in-america.html","No","Yes","No",""
"billboards","its-a-whole-new-world-road-banner.html","No","Yes","No",""
"billboards","i-wanna-be-erected.html","No","Yes","No",""
"billboards","jesus-drove-an-suv.html","No","Yes","No",""
"billboards","jesus-returns.html","No","Yes","No",""
"billboards","jihad-is-over-amsterdam.html","No","Yes","No",""
"billboards","jihad-is-over-version-1.html","No","Yes","No",""
"billboards","jihad-is-over-version-2.html","No","Yes","No",""
"billboards","just-do-it.html","No","Yes","No",""
"billboards","keep-hope-a-lie.html","No","Yes","No",""
"billboards","kid-kools.html","No","Yes","No",""
"billboards","king-of-beers-version-1.html","No","Yes","No",""
"billboards","king-of-beers-version-2.html","No","Yes","No",""
"billboards","kiss-kids-on-coke.html","No","Yes","No",""
"billboards","last-supper-at-mcdonalds-dallas-tx-1994-installing.html","No","Yes","No",""
"billboards","les-pauvres.html","No","Yes","No",""
"billboards","lets-get-drunk-and-kill-god-version-2.html","No","Yes","No",""
