"WorkID","BillboardName","MediumFormat","File","Changed"
"RE-011795","1000 Points of Light, NYC, 1991","billboard","1000-points-of-light-nyc-1991.html","Yes"
"RE-011796","Abortion Hanger","billboard","abortion-hanger-1.html","Yes"
"RE-011797","Absolut Wallpaper Rome - Guernica","billboard","absolut-wallpaper-rome-guernica.html","Yes"
"RE-011798","AIDS Condom","billboard","aids-condom.html","Yes"
"RE-011799","AIDS, Jersey City, 1991","billboard","aids-jersey-city-1991.html","Yes"
"RE-011800","All-American","billboard","all-american.html","Yes"
"RE-011801","Art Gathering LA, Tattoo Convention Long Beach, June 2016","banner","art-gathering-la-tattoo-convention-long-beach-june-2016.html","Yes"
"RE-011802","Barney vs Godzilla","billboard","barney-vs-godzilla.html","Yes"
"RE-011803","Batboy, Bronx, NY 1987","billboard","batboy-bronx-ny-1987.html","Yes"
"RE-011804","Beacon Windows","banner","beacon-windows.html","Yes"
"RE-011805","Better Living Through Chemistry","billboard","better-living-through-chemistry.html","Yes"
"RE-011806","Billboard Liberation - Just Do It","billboard","billboard-liberation-just-do-it.html","Yes"
"RE-011807","Bogus Vogue","billboard","bogus-vogue.html","Yes"
"RE-011808","Breathe","billboard","breathe.html","Yes"
"RE-011809","Bunnies","billboard","bunnies.html","Yes"
"RE-011810","Camel Junior, NYC, 1991","billboard","camel-junior-nyc-1991.html","Yes"
"RE-011811","Camel Juniors, NYC, 1991","billboard","camel-juniors-nyc-1991.html","Yes"
"RE-011812","Camel Kids, Jersey City, 1995","billboard","camel-kids-jersey-city-1995.html","Yes"
"RE-011813","Censorship Is Good Because..., NYC, 1990","billboard","censorship-is-good-because-nyc-1990.html","Yes"
"RE-011814","Cereal Killer","exact format pending verification","cereal-killer.html","Yes"
"RE-011815","Christmas Card 1989","billboard","christmas-card-1989.html","Yes"
"RE-011816","Circus","billboard","circus.html","Yes"
"RE-011817","Close Cover Before Cremating","billboard","close-cover-before-cremating.html","Yes"
"RE-011818","Combrats","exact format pending verification","combrats.html","Yes"
"RE-011819","Cover the Earth","poster","cover-the-earth.html","Yes"
"RE-011820","De La Barracuda Wall, LA, 2011","poster","de-la-barracuda-wall-la-2011.html","Yes"
"RE-011821","Dinosaur","billboard","dinosaur.html","Yes"
"RE-011822","Don't Do It in a Vacuum","billboard","dont-do-it-in-a-vacuum.html","Yes"
"RE-011823","Enhanced Milk","billboard","enhanced-milk.html","Yes"
"RE-011824","Evolution - Non E Para Todos","billboard","evolucion-non-e-para-todos.html","Yes"
"RE-011825","Evolution - Don't Get Left Behind","billboard","evolution-dont-get-left-behind.html","Yes"
"RE-011826","Evolution - It's Not for Everyone","billboard","evolution-its-not-for-everyone.html","Yes"
"RE-011827","Evolve","billboard","evolve.html","Yes"
"RE-011828","Eyes in Austin, TX, 1984","billboard","eyes-in-austin-tx-1984.html","Yes"
"RE-011829","Family Album","billboard","family-album.html","Yes"
"RE-011830","Family Values, Austin TX","billboard","family-values-austin-tx.html","Yes"
"RE-011831","Fat & 50","billboard","fat-and-50.html","Yes"
"RE-011832","Fish Eyes","billboard","fish-eyes.html","Yes"
"RE-011833","Forever Kool, Jersey City, 1995","billboard","forever-kool.html","Yes"
"RE-011834","Get Met or Pay","billboard","get-met-or-pay.html","Yes"
"RE-011835","Good to the Last Drop","billboard","good-to-the-last-drop.html","Yes"
"RE-011836","Got Coke","billboard","got-coke-and-sugar-the-other-white-powder.html","Yes"
"RE-011837","Grade School Guernica","billboard","grade-school-guernica.html","Yes"
"RE-011838","Greetings from the Occupation 1, London","billboard","greetings-from-the-occupation-1-london.html","Yes"
"RE-011839","Greetings from the Occupation Version 2","billboard","greetings-from-the-occupation-version-2.html","Yes"
"RE-011840","Grey's Autonomy, Austin, TX 1985","billboard","greys-autonomy-austin-tx-1985.html","Yes"
"RE-011841","Grinny Gaylord","billboard","grinny-gaylord.html","Yes"
"RE-011842","Halliburton","billboard","halliburton.html","Yes"
"RE-011843","Heart Los Angeles, CA 1996","billboard","heart-los-angeles-ca-1996.html","Yes"
"RE-011844","Home of the Homeless, NYC, 1992","billboard","home-of-the-homeless-nyc-1992.html","Yes"
"RE-011845","Hook Any New Kids Today","billboard","hook-any-new-kids-today.html","Yes"
"RE-011846","Houston Bowery Wall","exact format pending verification","houston-bowery-wall.html","Yes"
"RE-011847","Hulk","poster","hulk.html","Yes"
"RE-011848","I of Second Chances - Revelations","billboard","i-of-second-chances-revelations.html","Yes"
"RE-011849","I Wanna Be Erected","billboard","i-wanna-be-erected.html","Yes"
"RE-011850","If You Believe","poster","if-you-believe.html","Yes"
"RE-011851","In Your Mind's Eye","billboard","in-your-minds-eye.html","Yes"
"RE-011852","Inauguration Obama","billboard","inauguration-obama.html","Yes"
"RE-011853","It's a Whole New World - Road Banner","billboard","its-a-whole-new-world-road-banner.html","Yes"
"RE-011854","It's Armageddon in America","billboard","its-armageddon-in-america.html","Yes"
"RE-011855","Jesus Drove an SUV","billboard","jesus-drove-an-suv.html","Yes"
"RE-011856","Jesus Returns","billboard","jesus-returns.html","Yes"
"RE-011857","Jihad Is Over, Amsterdam","poster","jihad-is-over-amsterdam.html","Yes"
"RE-011858","Jihad Is Over Version 1","billboard","jihad-is-over-version-1.html","Yes"
"RE-011859","Jihad Is Over Version 2","billboard","jihad-is-over-version-2.html","Yes"
"RE-011860","Just Do It","billboard","just-do-it.html","Yes"
"RE-011861","Keep Hope a Lie","billboard","keep-hope-a-lie.html","Yes"
"RE-011862","Kid Kools","billboard","kid-kools.html","Yes"
"RE-011863","The King of Beers Version 1","billboard","king-of-beers-version-1.html","Yes"
"RE-011864","The King of Beers Version 2","billboard","king-of-beers-version-2.html","Yes"
"RE-011865","Kiss Kids on Coke","billboard","kiss-kids-on-coke.html","Yes"
"RE-011866","Last Supper at McDonalds, Dallas, TX 1994","billboard","last-supper-at-mcdonalds-dallas-tx-1994-installing.html","Yes"
"RE-011867","Les Pauvres","billboard","les-pauvres.html","Yes"
